Family,Genus,Species,Csome,Ploidy,GS,Repeated,Nonmultiple,Minimum,Maybehybrid,Both,Chromploid,PSID,Name
ACTINIDIACEAE,Actinidia,chinensis,58,2,0.78,,,1,,1,1,1,Actinidia_chinensis
ACTINIDIACEAE,Actinidia,chinensis,174,6,2.1,,,0,,1,0,1,Actinidia_chinensis
ALISMATACEAE,Alisma,plantago-aquatica,14,2,10.3,,1,1,,1,1,2,Alisma_plantago-aquatica
ALISMATACEAE,Alisma,plantago-aquatica,26,,16.55,,1,0,,,0,2,Alisma_plantago-aquatica
ALSTROEMERIACEAE,Alstroemeria,aurea,16,2,26.75,,,1,,1,1,3,Alstroemeria_aurea
ALSTROEMERIACEAE,Alstroemeria,aurea,24,3,40.45,,,0,,1,0,3,Alstroemeria_aurea
ALSTROEMERIACEAE,Alstroemeria,magnifica,16,2,18.25,,,1,,1,1,4,Alstroemeria_magnifica
ALSTROEMERIACEAE,Alstroemeria,magnifica,24,3,30.8,,,0,,1,0,4,Alstroemeria_magnifica
AMARANTHACEAE,Atriplex,halimus,18,2,1.22,,,1,,1,1,5,Atriplex_halimus
AMARANTHACEAE,Atriplex,halimus,36,4,2.39,,,0,,1,0,5,Atriplex_halimus
AMARANTHACEAE,Celosia,argentea,36,4,1.65,,,1,,1,1,6,Celosia_argentea
AMARANTHACEAE,Celosia,argentea,72,8,3.55,,,0,,1,0,6,Celosia_argentea
AMARANTHACEAE,Chenopodium,album,18,2,0.77,,,1,,1,1,7,Chenopodium_album
AMARANTHACEAE,Chenopodium,album,36,4,1.63,,,0,,1,0,7,Chenopodium_album
AMARANTHACEAE,Chenopodium,album,54,6,2.33,,,0,,1,0,7,Chenopodium_album
AMARYLLIDACEAE,Agapanthus,africanus,30,2,15.8,,,1,,1,1,8,Agapanthus_africanus
AMARYLLIDACEAE,Agapanthus,africanus,,3,23.78,,,0,,,0,8,Agapanthus_africanus
AMARYLLIDACEAE,Agapanthus,inapertus,30,2,12.57,,,1,,1,1,9,Agapanthus_inapertus
AMARYLLIDACEAE,Agapanthus,inapertus,,3,18.31,,,0,,,0,9,Agapanthus_inapertus
AMARYLLIDACEAE,Allium,angulosum,16,2,15.1,,,1,,1,1,10,Allium_angulosum
AMARYLLIDACEAE,Allium,angulosum,32,4,20.6,,,0,,1,0,10,Allium_angulosum
AMARYLLIDACEAE,Allium,atropurpureum,16,2,25.05,,,1,,1,1,11,Allium_atropurpureum
AMARYLLIDACEAE,Allium,atropurpureum,32,4,28.25,,,0,,1,0,11,Allium_atropurpureum
AMARYLLIDACEAE,Allium,carinatum,16,2,11.2,,,1,,1,1,12,Allium_carinatum
AMARYLLIDACEAE,Allium,carinatum,24,3,16.33,,,0,,1,0,12,Allium_carinatum
AMARYLLIDACEAE,Allium,lineare,16,2,13.1,,,1,,1,1,13,Allium_lineare
AMARYLLIDACEAE,Allium,lineare,48,6,22.65,,,0,,1,0,13,Allium_lineare
AMARYLLIDACEAE,Allium,nutans,32,4,22.63,,1,1,,1,1,14,Allium_nutans
AMARYLLIDACEAE,Allium,nutans,66,8,47.48,,1,0,,1,0,14,Allium_nutans
AMARYLLIDACEAE,Allium,schoenoprasum,16,2,8.45,,,1,,1,1,15,Allium_schoenoprasum
AMARYLLIDACEAE,Allium,schoenoprasum,32,4,13.38,,,0,,1,0,15,Allium_schoenoprasum
AMARYLLIDACEAE,Allium,sphaerocephalon,16,2,11.93,,,1,,1,1,16,Allium_sphaerocephalon
AMARYLLIDACEAE,Allium,sphaerocephalon,24,3,20.06,,,0,,1,0,16,Allium_sphaerocephalon
AMARYLLIDACEAE,Allium,splendens,32,4,24.3,,,1,,1,1,17,Allium_splendens
AMARYLLIDACEAE,Allium,splendens,40,5,25,,,0,,1,0,17,Allium_splendens
AMARYLLIDACEAE,Allium,splendens,48,6,33,,,0,,1,0,17,Allium_splendens
AMARYLLIDACEAE,Allium,victorialis,16,2,19.05,,,1,,1,1,18,Allium_victorialis
AMARYLLIDACEAE,Allium,victorialis,32,4,41.75,,,0,,1,0,18,Allium_victorialis
AMARYLLIDACEAE,Allium,wallichii,14,2,16.25,,,1,,1,1,19,Allium_wallichii
AMARYLLIDACEAE,Allium,wallichii,28,4,30.5,,,0,,1,0,19,Allium_wallichii
AMARYLLIDACEAE,Allium,zebdanense,18,2,12.65,,,1,,1,1,20,Allium_zebdanense
AMARYLLIDACEAE,Allium,zebdanense,45,5,30.8,,,0,,1,0,20,Allium_zebdanense
AMARYLLIDACEAE,Galanthus,alpinus,24,2,31.1,,,1,,1,1,21,Galanthus_alpinus
AMARYLLIDACEAE,Galanthus,alpinus,36,3,46.3,,,0,,1,0,21,Galanthus_alpinus
AMARYLLIDACEAE,Galanthus,elwesii,24,2,27.65,,,1,,1,1,22,Galanthus_elwesii
AMARYLLIDACEAE,Galanthus,elwesii,48,4,53.3,,,0,,1,0,22,Galanthus_elwesii
AMARYLLIDACEAE,Galanthus,elwesii,72,6,78.7,,,0,,1,0,22,Galanthus_elwesii
AMARYLLIDACEAE,Galanthus,nivalis,24,2,36.1,,,1,,1,1,23,Galanthus_nivalis
AMARYLLIDACEAE,Galanthus,nivalis,36,3,52.65,,,0,,1,0,23,Galanthus_nivalis
AMARYLLIDACEAE,Galanthus,rizehensis,24,2,24.25,,,1,,1,1,24,Galanthus_rizehensis
AMARYLLIDACEAE,Galanthus,rizehensis,36,3,36.45,,,0,,1,0,24,Galanthus_rizehensis
AMARYLLIDACEAE,Galanthus,transcaucasicus,24,2,40.95,,,1,,1,1,25,Galanthus_transcaucasicus
AMARYLLIDACEAE,Galanthus,transcaucasicus,48,4,80.6,,,0,,1,0,25,Galanthus_transcaucasicus
AMARYLLIDACEAE,Narcissus,hispanicus,14,2,12.9,,,1,,1,1,26,Narcissus_hispanicus
AMARYLLIDACEAE,Narcissus,hispanicus,21,3,19.65,,,0,,1,0,26,Narcissus_hispanicus
AMARYLLIDACEAE,Narcissus,poeticus,,2,12.17,,,1,,,0,27,Narcissus_poeticus
AMARYLLIDACEAE,Narcissus,poeticus,21,3,17.28,,,0,,1,0,27,Narcissus_poeticus
AMARYLLIDACEAE,Narcissus,pseudonarcissus,14,2,11.75,,,1,,1,1,28,Narcissus_pseudonarcissus
AMARYLLIDACEAE,Narcissus,pseudonarcissus,42,6,33.85,,,0,,1,0,28,Narcissus_pseudonarcissus
AMARYLLIDACEAE,Nerine,ridleyi,22,2,13.1,,,1,,1,1,29,Nerine_ridleyi
AMARYLLIDACEAE,Nerine,ridleyi,33,3,19.75,,,0,,1,0,29,Nerine_ridleyi
