Family,Genus,Species,Authority,Chromosome number,Ploidy level,Estimation method,Voucher,1C (pg),Original Reference,Lifecycle,Group,Paper,Name,History of Polyploidy,Repeated Sample,Non-multiple,Minimum,Missing Data,Possible Hybrid,Both,Chromploid
MALVACEAE,Abelmoschus,esculentus,(L.) Moench,120,,FC:PI,N,1.65,"Bennett et al., 1999 (Ref. 373)",A,Eudicot,2000,Abelmoschus_esculentus,,,,1,,,,0
MALVACEAE,Abutilon,theophrasti,Medik.,42,6,Fe,Y,1.4,"Bennett et al., 1998 (Ref. 375)",A,Eudicot,2000,Abutilon_theophrasti,,,,1,,,1,1
FABACEAE,Acacia,albida,(Del.),26,2,FC:PI,N,0.58,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_albida,,,,1,,,1,1
FABACEAE,Acacia,aulacocarpa,A.Cunn. ex Benth.,26,2,Fe,N,1.5,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_aulacocarpa,,,,1,,,1,1
FABACEAE,Acacia,bancrofti,Maiden,26,2,Fe,N,1.45,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_bancrofti,,,,1,,,1,1
FABACEAE,Acacia,bivenosa,DC.,26,2,Fe,N,1.4,"Mukerjee and Sharma, 1993 (Ref. 289)",P,Eudicot,1997,Acacia_bivenosa,,,,1,,,1,1
FABACEAE,Acacia,caffra,(Thunb.) Willd.,26,2,FC:PI,N,0.55,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_caffra,,,,1,,,1,1
FABACEAE,Acacia,catechu,Willd.,26,2,Fe,Y,0.7,"Ohri, 1996 (Ref. 301)",P,Eudicot,1997,Acacia_catechu,,,,1,,,1,1
FABACEAE,Acacia,cincinnata,F.Muell.,26,2,Fe,N,1.93,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_cincinnata,,,,1,,,1,1
FABACEAE,Acacia,colletioides,,,,FC:PI,,0.77,"Morgan & Westoby, 2005 (Ref. 526)",P,Eudicot,2011,Acacia_colletioides,,,,1,,,,0
FABACEAE,Acacia,concurrens,Pedley,26,2,Fe,N,1.53,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_concurrens,,,,1,,,1,1
FABACEAE,Acacia,constricta,Benth.,,,FC:PI,N,0.73,"Sliwinska et al., 2009 (Ref. 624)",P,Eudicot,2012,Acacia_constricta,,,,1,,,,0
FABACEAE,Acacia,crassa,Pedley,26,2,Fe,N,1.45,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_crassa,,,,1,,,1,1
FABACEAE,Acacia,crassicarpa,A.Cunn. ex Benth.,26,2,Fe,N,1.38,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_crassicarpa,,,,1,,,1,1
FABACEAE,Acacia,dealbata,Link.,26,2,FC:PI,Y,0.87,"Blakesley et al., 2002 (Ref. 441)",P,Eudicot,2005a,Acacia_dealbata,1,,,1,,,1,1
FABACEAE,Acacia,dealbata,Link.,39,3,FC:PI,Y,1.27,"Blakesley et al., 2002 (Ref. 441)",P,Eudicot,2005a,Acacia_dealbata,1,,,0,,,1,0
FABACEAE,Acacia,dealbata,Link.,52,4,FC:PI,Y,1.71,"Blakesley et al., 2002 (Ref. 441)",P,Eudicot,2005a,Acacia_dealbata,1,,,0,,,1,0
FABACEAE,Acacia,doratoxylon,,,,FC:PI,,0.81,"Morgan & Westoby, 2005 (Ref. 526)",P,Eudicot,2011,Acacia_doratoxylon,,,,1,,,,0
FABACEAE,Acacia,drepanolobium,Harm. ex Sios.,52,4,FC:PI,N,0.58,"Bukhari, 1997 (Ref. 320)",P,Eudicot,2000,Acacia_drepanolobium,,,,1,,,1,1
FABACEAE,Acacia,falcata,,26,2,Fe,N,1.5,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_falcata,,,,1,,,1,1
FABACEAE,Acacia,falciformis,DC.,26,2,Fe,N,1.18,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_falciformis,,,,1,,,1,1
FABACEAE,Acacia,farnesiana,Willd.,52,4,Fe,N,1.45,"Mukerjee and Sharma, 1993 (Ref. 289)",P,Eudicot,1997,Acacia_farnesiana,,,,1,,,1,1
FABACEAE,Acacia,fimbriata,A.Cunn. ex G.Don,26,2,Fe,N,1.8,"Mukherjee and Sharma, 1995 (Ref. 364)",P,Eudicot,2000,Acacia_fimbriata,,,,1,,,1,1
FABACEAE,Acacia,floribunda,(Vent.) Willd.,,,FC:PI,,0.96,"Morgan & Westoby, 2005 (Ref. 526)",P,Eudicot,2011,Acacia_floribunda,,,,1,,,,0
FABACEAE,Acacia,gerrardi,Benth.,52,4,Fe,N,1.33,"Mukerjee and Sharma, 1993 (Ref. 289)",P,Eudicot,1997,Acacia_gerrardi,,,,1,,,1,1
